ID,titulo,genero,ano,nota,status
0,O Poderoso Chefão,Drama,1972,7.4,Assistido
1,Breaking Bad,Série,2008,9.5,Assistindo
2,SCP,creepypasta,2008,8.5,Pendente
3,Jurassic Park,ficção científica,1993,8.5,Assistindo
4,Posto de Gasolina,creepypasta,2017,9.4,Pendente
5,Digital Circus,web série,2023,7.9,Pendente
6,The Walten Files,analog horror,2020,8.6,Assistido
7,O Chamado de Cthulhu,horror cósmico,1926,8.1,Pendente
8,Desventuras em Série,mistério,2001,10.0,Assistindo
9,Senhor dos Anéis,aventura,1954,7.8,Pendente
10,Nas Montanhas da Loucura,horror cósmico,1931,8.7,Pendente
11,O Enigma de Outro Mundo,ficção científica,1938,8.3,Pendente
