Data,Produto,Quantidade,Preco_Unitario,Total
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,2,95.00,190.00
04/07/2026,Gás P13,3,95.00,285.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,2,95.00,190.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,3,95.00,285.00
04/07/2026,Gás P13,3,95.00,285.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,1,95.00,95.00
04/07/2026,Gás P13,3,95.00,285.00
